Region,Country,Region Code,Property Type,Abbreviation,Code,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Europe,Austria,AT,Residential Single-Family,RSF,AT.RSF.CO2,kgCO2/sqm,27.1521468580603,25.3406334156352,23.2507748528595,21.2514791564089,19.3478816242652,17.6081493626568,15.8359264374941,14.22722525764,12.7149314894964,11.2969876304709,9.9273974378814,8.77262712056319,7.65354529646996,6.61056294095142,5.63994352305751,4.74097726730158,3.89933215976424,3.12798529934742,2.47504391514348,1.95384820183349,1.53762548672666,1.30596182956987,1.13116677539505,0.978533452146018,0.84642598514661,0.723743971077681,0.635544168492258,0.551580113776834,0.477732755735544,0.410344856493548,0.346595880902278
Europe,Austria,AT,Residential Multi-Family,RMF,AT.RMF.CO2,kgCO2/sqm,20.2671381904807,19.0405689227103,17.5862239297831,16.1806373097561,14.82892999277,13.5849719371426,12.2986067577732,11.1224096614047,10.0059387133849,8.94891864803965,7.91601173731524,7.04146277782444,6.18382538902108,5.3764245783478,4.61731699325611,3.90698699183142,3.23461708061442,2.61189284896884,2.08032453314087,1.65308852496679,1.30952144255132,1.11956416070674,0.976115861912887,0.849975604900466,0.740074971499253,0.636982624760943,0.563046517928559,0.491884487598805,0.428840379318078,0.370779718681292,0.315244094426591
Europe,Austria,AT,Office,OFF,AT.OFF.CO2,kgCO2/sqm,35.9516316177802,33.7518357097584,31.1526436836545,28.6438084606127,26.2341332638386,24.0184437566613,21.7314281667573,19.6421218917575,17.6612180728794,15.7879639886741,13.9599548880208,12.4129632138002,10.8979824203805,9.4733975913573,8.13558746936111,6.88519711938305,5.70308385816214,4.60953349981296,3.67692176038984,2.927919644228,2.32605592510841,1.99304625972275,1.74159366777906,1.52064871337278,1.32828614725054,1.14803513369821,1.01872849452559,0.894418802128876,0.784374408109874,0.683126295756669,0.586392553933292
Europe,Austria,AT,Retail High Street,RHS,AT.RHS.CO2,kgCO2/sqm,45.2479945542434,42.4805885329599,39.2107307987574,36.0545445010486,33.0231043458175,30.2357037232884,27.3585728534699,24.73016594324,22.2381324159677,19.881525326592,17.5818377175455,15.6356780495045,13.7297889829097,11.9376206188849,10.2546173123301,8.68159057341055,7.19445836036642,5.81874080618942,4.64548862684511,3.7032225926818,2.9460608604457,2.52712519929037,2.21079066367515,1.93283560658715,1.69083800953054,1.46407709119801,1.30140564948229,1.14502050939357,1.00658152171014,0.879208507355449,0.757514699940362
Europe,Austria,AT,Shopping Center,RSM,AT.RSM.CO2,kgCO2/sqm,37.5502002505746,35.2562891378518,32.5458943002951,29.9297220557974,27.4169522612106,25.1064675638244,22.7216051965836,20.5429108619743,18.4772568316212,16.5238581799361,14.6176402554206,13.0044626966099,11.4246655595598,9.93913185236634,8.5440853872059,7.24019882727705,6.00751049627172,4.86717410861334,3.89466187458417,3.11361474587046,2.48600112562571,2.13874410542366,1.87653346448229,1.64613568786837,1.44554315722016,1.25758035505317,1.1227415113835,0.993113401899284,0.878360911719389,0.772781039867509,0.671908679602299
Europe,Austria,AT,Retail Warehouse,RWB,AT.RWB.CO2,kgCO2/sqm,30.8831097983177,28.9939888881679,26.7618781782144,24.607363269497,22.5380041147249,20.6352342426908,18.6712115999669,16.8769759813733,15.1758332473624,13.5671369825903,11.9972957971444,10.6687842252569,9.36776266917166,8.14437054494051,6.99549802178645,5.92169906281067,4.90653448695421,3.96742516289109,3.16652525596306,2.52330396701169,2.00644086498339,1.72046182489701,1.50452163352746,1.3147805162543,1.14958512486985,0.994790783478606,0.883745992918079,0.776992435288227,0.682489502071572,0.595540560371053,0.512468429120522
Europe,Austria,AT,Hotel,HOT,AT.HOT.CO2,kgCO2/sqm,38.1527375541852,35.8202895978342,33.0643611467708,30.4042381928792,27.8492548111528,25.4999548401516,23.0750276824264,20.8597321027119,18.7593758618345,16.7731608477516,14.8349191793033,13.1946408444496,11.5883037098831,10.0778135953288,8.65933087442864,7.33353951086978,6.08014247969261,4.92064886976393,3.93179879610295,3.13763036948954,2.49947307655923,2.14638226907045,1.8797665880159,1.64549821544017,1.44153580574839,1.25041529922448,1.11331121371319,0.98150540076117,0.864825111920951,0.757471537945535,0.654904559980281
Europe,Austria,AT,Distribution Warehouse Cold,DWC,AT.DWC.CO2,kgCO2/sqm,27.2343896185158,25.5464922328448,23.552139297775,21.6271168906463,19.7781797005554,18.0780871997077,16.3232663905994,14.7201473982518,13.2002053140987,11.7628625770303,10.3602361921353,9.1732337102005,8.01079308958193,6.91771304528945,5.89121499644442,4.93179389965085,4.02476162638139,3.18568342634187,2.4700929885753,1.89538571272236,1.43357732662268,1.17805992086792,0.985121034576585,0.815590575155494,0.667991304116446,0.529685194249586,0.430468563555128,0.335086076459461,0.250649313805664,0.172961914023752,0.0987383784064471
Europe,Austria,AT,Distribution Warehouse Warm,DWW,AT.DWW.CO2,kgCO2/sqm,10.4020238126276,9.76527038731842,9.01290767056698,8.28669965464027,7.58919452253543,6.94784053238939,6.28584047806777,5.68106940713582,5.10767653587944,4.56544398137634,4.03630805013258,3.58851548724408,3.14998880121386,2.73762815165718,2.35038532858983,1.98844705267129,1.64627227843839,1.32973294227193,1.05977893544989,0.842972612058391,0.668757002636991,0.572363948934992,0.499578424314665,0.435623647414705,0.379942335147084,0.327766835648993,0.290337706379257,0.254354994463078,0.222501519069224,0.193194217372783,0.165193646399633
Europe,Austria,AT,Healthcare,HEC,AT.HEC.CO2,kgCO2/sqm,48.1870319392076,45.2383828155983,41.7543753847654,38.3914839661905,35.161508571091,32.1915553587479,29.1259952809878,26.3254486056057,23.6702066860306,21.1592605598253,18.708961687582,16.6353440270584,14.6046343723527,12.6950932225176,10.9018665739022,9.22581908413852,7.64129152910705,6.17547540770664,4.92538453423524,3.92140756284965,3.11465775417756,2.66828513642145,2.33123320257599,2.0350742981066,1.77722778155332,1.53561582509745,1.36229069666947,1.19566357266898,1.04815793144154,0.91244299685661,0.782779212134211
